地名,センター,ごみ収集がない日,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル
麻苧町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
旭が丘,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
朝日町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
東町1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
東町2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
東町3丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
油田町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
池ノ森,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
石橋町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
泉町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
磯町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
板荷,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
今宮町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
入粟野,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上野町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
大和田町(黒川西側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
大和田町(黒川東側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
御成橋町1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
御成橋町2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
貝島町(黒川西側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
貝島町(黒川東側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
柏木,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
加園,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上石川,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
上大久保,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上粕尾,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上久我,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上材木町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上田町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上殿町(黒川西側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上殿町(黒川東側),鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
上永野,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上奈良部町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
上南摩町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
上日向,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
亀和田町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
北赤塚町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
北半田,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
